Month,Season,Budget,Temperature,Weather,Activity_Preference,Group_Size,Suggested_Place
January,Winter,Medium,14,Cold,Adventure,7,"Valley of Flowers, Uttarakhand"
August,Monsoon,Medium,24,Rainy,Family Trip,2,"Abbey Falls, Coorg"
March,Spring,Low,20,Pleasant,Eco Tourism,4,Jammu-Kashmir
August,Monsoon,High,21,Rainy,Family Trip,2,Gangtok
September,Autumn,Medium,24,Mild,Cultural,1,"Pillar Rocks, Kodaikanal"
November,Autumn,High,25,Mild,Cultural,5,Gangtok
April,Spring,High,24,Pleasant,Eco Tourism,10,Munnar
February,Winter,Medium,12,Cold,Adventure,8,Rishikesh
September,Autumn,Medium,19,Mild,Cultural,1,Shimla
July,Monsoon,Low,29,Rainy,Family Trip,1,Idukki
February,Winter,Medium,-5,Cold,Adventure,1,"Pillar Rocks, Kodaikanal"
October,Autumn,Medium,22,Mild,Cultural,2,"Kullu-Manali, Himachal Pradesh"
February,Winter,Low,-3,Cold,Adventure,1,"Nohkalikai Falls, Cherrapunji"
August,Monsoon,Medium,22,Rainy,Family Trip,9,"Palolem Beach, Goa"
February,Winter,High,6,Cold,Adventure,7,"Attukal Waterfalls, Munnar"
October,Autumn,High,16,Mild,Cultural,1,"Bhushi Dam, Lonavala"
May,Summer,High,37,Hot,Adventure,3,Tawang
August,Monsoon,Low,26,Rainy,Family Trip,1,Jammu-Kashmir
November,Autumn,Low,22,Mild,Cultural,7,"Ooty, Tamil Nadu"
February,Winter,Medium,1,Cold,Adventure,7,"Darjeeling, West Bengal"
May,Summer,High,34,Hot,Adventure,9,Munnar
January,Winter,Medium,15,Cold,Adventure,7,Mount Abu
March,Spring,High,19,Pleasant,Eco Tourism,7,"Sunset Viewpoint, Agumbe"
August,Monsoon,High,29,Rainy,Family Trip,3,Gulmarg
April,Spring,Medium,23,Pleasant,Eco Tourism,10,Munnar
May,Summer,High,38,Hot,Adventure,5,Udaipur
December,Winter,Medium,2,Cold,Adventure,9,Leh & Ladakh
April,Spring,High,19,Pleasant,Eco Tourism,9,"Nohkalikai Falls, Cherrapunji"
December,Winter,High,2,Cold,Adventure,3,"Hampi, Karnataka"
October,Autumn,Medium,16,Mild,Cultural,2,"Valley of Flowers, Uttarakhand"
June,Monsoon,Medium,21,Rainy,Family Trip,10,Udaipur
April,Spring,High,21,Pleasant,Eco Tourism,7,Gulmarg
February,Winter,Low,2,Cold,Adventure,4,"Manali and Kullu, Himachal Pradesh"
February,Winter,Medium,13,Cold,Adventure,6,"Attukal Waterfalls, Munnar"
May,Summer,Low,36,Hot,Adventure,1,"Tsomgo Lake, Sikkim"
December,Winter,High,13,Cold,Adventure,1,Jammu-Kashmir
January,Winter,High,10,Cold,Adventure,7,"Leh-Ladakh, Jammu & Kashmir"
August,Monsoon,Medium,26,Rainy,Family Trip,1,Kodaikanal
June,Monsoon,Medium,28,Rainy,Family Trip,5,"Sunset Viewpoint, Agumbe"
February,Winter,High,-1,Cold,Adventure,9,"Bhushi Dam, Lonavala"
November,Autumn,Low,16,Mild,Cultural,4,"Elephant Falls, Shillong"
October,Autumn,Low,18,Mild,Cultural,5,Darjeeling
August,Monsoon,High,22,Rainy,Family Trip,4,Rishikesh
April,Spring,High,28,Pleasant,Eco Tourism,7,"Attukal Waterfalls, Munnar"
July,Monsoon,Medium,20,Rainy,Family Trip,1,Leh & Ladakh
August,Monsoon,High,27,Rainy,Family Trip,4,"Wayanad, Alleppey - Kerala"
November,Autumn,High,15,Mild,Cultural,3,"Sunset Viewpoint, Agumbe"
July,Monsoon,Low,22,Rainy,Family Trip,2,"Rann of Kutch, Gujarat"
November,Autumn,Low,24,Mild,Cultural,9,Shimla
December,Winter,High,12,Cold,Adventure,9,"Nohkalikai Falls, Cherrapunji"
July,Monsoon,High,26,Rainy,Family Trip,7,"Rann of Kutch, Gujarat"
December,Winter,Low,15,Cold,Adventure,8,Udaipur
May,Summer,Low,32,Hot,Adventure,10,"Palolem Beach, Goa"
April,Spring,High,16,Pleasant,Eco Tourism,3,"Bhushi Dam, Lonavala"
June,Monsoon,Medium,22,Rainy,Family Trip,2,"Hampi, Karnataka"
February,Winter,High,-4,Cold,Adventure,1,Darjeeling
January,Winter,High,-1,Cold,Adventure,10,"Darjeeling, West Bengal"
December,Winter,High,11,Cold,Adventure,9,"Bhushi Dam, Lonavala"
April,Spring,Low,25,Pleasant,Eco Tourism,9,"Valley of Flowers, Uttarakhand"
January,Winter,Medium,12,Cold,Adventure,2,"Bhushi Dam, Lonavala"
June,Monsoon,High,20,Rainy,Family Trip,5,Gangtok
December,Winter,High,-4,Cold,Adventure,6,"Wayanad, Kerala"
July,Monsoon,Low,30,Rainy,Family Trip,4,"Pillar Rocks, Kodaikanal"
April,Spring,High,27,Pleasant,Eco Tourism,7,Munnar
September,Autumn,Medium,17,Mild,Cultural,9,"Tsomgo Lake, Sikkim"
April,Spring,Medium,21,Pleasant,Eco Tourism,7,Wayanad
June,Monsoon,High,28,Rainy,Family Trip,8,"Pushkar, Rajasthan"
March,Spring,High,19,Pleasant,Eco Tourism,8,Mussoorie
February,Winter,High,5,Cold,Adventure,3,"Pillar Rocks, Kodaikanal"
September,Autumn,Medium,22,Mild,Cultural,6,"Pillar Rocks, Kodaikanal"
September,Autumn,High,15,Mild,Cultural,10,Gulmarg
April,Spring,Low,21,Pleasant,Eco Tourism,5,"Sunset Viewpoint, Agumbe"
September,Autumn,High,21,Mild,Cultural,8,"Wayanad, Alleppey - Kerala"
April,Spring,Low,27,Pleasant,Eco Tourism,2,Kullu
June,Monsoon,Low,29,Rainy,Family Trip,7,"Bhushi Dam, Lonavala"
September,Autumn,Low,25,Mild,Cultural,1,Udaipur
June,Monsoon,Medium,26,Rainy,Family Trip,1,"Pushkar, Rajasthan"
March,Spring,High,25,Pleasant,Eco Tourism,8,"Palolem Beach, Goa"
December,Winter,Low,9,Cold,Adventure,6,Kodaikanal
April,Spring,Low,24,Pleasant,Eco Tourism,7,"Pushkar, Rajasthan"
November,Autumn,High,19,Mild,Cultural,7,"Manali and Kullu, Himachal Pradesh"
September,Autumn,Medium,20,Mild,Cultural,10,"Kullu-Manali, Himachal Pradesh"
September,Autumn,Medium,19,Mild,Cultural,1,"Sunset Viewpoint, Agumbe"
July,Monsoon,Medium,26,Rainy,Family Trip,1,"Nohkalikai Falls, Cherrapunji"
October,Autumn,Low,21,Mild,Cultural,4,Ooty
October,Autumn,Low,21,Mild,Cultural,7,"Roopkund Glacial Lake, Nanda Devi National Park - Uttarakhand"
April,Spring,Low,19,Pleasant,Eco Tourism,8,"Pillar Rocks, Kodaikanal"
June,Monsoon,High,29,Rainy,Family Trip,6,"Leh-Ladakh, Jammu & Kashmir"
August,Monsoon,High,27,Rainy,Family Trip,5,Kumili
April,Spring,Low,19,Pleasant,Eco Tourism,4,"Hampi, Karnataka"
March,Spring,Low,16,Pleasant,Eco Tourism,9,Ooty
May,Summer,Medium,25,Hot,Adventure,7,"Pillar Rocks, Kodaikanal"
March,Spring,Low,18,Pleasant,Eco Tourism,8,"Leh-Ladakh, Jammu & Kashmir"
June,Monsoon,Low,28,Rainy,Family Trip,7,"Manali and Kullu, Himachal Pradesh"
April,Spring,High,22,Pleasant,Eco Tourism,9,Wayanad
February,Winter,High,0,Cold,Adventure,2,"Kullu-Manali, Himachal Pradesh"
June,Monsoon,Low,23,Rainy,Family Trip,6,"Nilgiris Tiger Reserves, Karnataka"
November,Autumn,High,22,Mild,Cultural,2,"Abbey Falls, Coorg"
May,Summer,High,31,Hot,Adventure,5,Munnar
March,Spring,Medium,22,Pleasant,Eco Tourism,9,Leh & Ladakh
October,Autumn,Low,15,Mild,Cultural,8,"Manali and Kullu, Himachal Pradesh"
June,Monsoon,Medium,22,Rainy,Family Trip,3,"Pushkar, Rajasthan"
February,Winter,Low,-4,Cold,Adventure,4,"Pushkar, Rajasthan"
October,Autumn,Medium,15,Mild,Cultural,6,"Pushkar, Rajasthan"
June,Monsoon,High,25,Rainy,Family Trip,10,"Tsomgo Lake, Sikkim"
October,Autumn,Medium,18,Mild,Cultural,10,Gangtok
February,Winter,Medium,4,Cold,Adventure,9,"Elephant Falls, Shillong"
January,Winter,Medium,14,Cold,Adventure,7,Auli
February,Winter,Low,-2,Cold,Adventure,9,"Rann of Kutch, Gujarat"
June,Monsoon,Low,29,Rainy,Family Trip,4,"Elephant Falls, Shillong"
October,Autumn,High,15,Mild,Cultural,1,Shillong
May,Summer,Medium,28,Hot,Adventure,8,"Elephant Falls, Shillong"
June,Monsoon,High,29,Rainy,Family Trip,4,"Valley of Flowers, Uttarakhand"
November,Autumn,High,20,Mild,Cultural,5,"Hampi, Karnataka"
December,Winter,Low,-5,Cold,Adventure,8,"Darjeeling, Kalimpong - West Bengal"
March,Spring,Medium,15,Pleasant,Eco Tourism,3,Leh & Ladakh
October,Autumn,Low,18,Mild,Cultural,4,"Bhushi Dam, Lonavala"
June,Monsoon,Medium,25,Rainy,Family Trip,9,"Wayanad, Kerala"
April,Spring,Medium,19,Pleasant,Eco Tourism,4,Darjeeling
June,Monsoon,High,25,Rainy,Family Trip,9,"Rann of Kutch, Gujarat"
September,Autumn,Low,21,Mild,Cultural,8,Darjeeling
September,Autumn,High,15,Mild,Cultural,7,Gangtok
June,Monsoon,Low,30,Rainy,Family Trip,2,"Abbey Falls, Coorg"
July,Monsoon,Medium,30,Rainy,Family Trip,4,"Darjeeling, West Bengal"
June,Monsoon,Medium,29,Rainy,Family Trip,1,Rishikesh
January,Winter,High,11,Cold,Adventure,1,"Ooty, Tamil Nadu"
November,Autumn,Medium,21,Mild,Cultural,4,Shillong
March,Spring,High,23,Pleasant,Eco Tourism,3,"Darjeeling, Kalimpong - West Bengal"
August,Monsoon,Medium,25,Rainy,Family Trip,10,Mount Abu
June,Monsoon,Medium,20,Rainy,Family Trip,5,"Valley of Flowers, Uttarakhand"
November,Autumn,Medium,15,Mild,Cultural,9,"Bhushi Dam, Lonavala"
October,Autumn,Low,23,Mild,Cultural,4,Kodaikanal
October,Autumn,High,20,Mild,Cultural,6,Auli
July,Monsoon,Medium,29,Rainy,Family Trip,7,"Pillar Rocks, Kodaikanal"
May,Summer,Low,26,Hot,Adventure,10,Auli
April,Spring,Low,23,Pleasant,Eco Tourism,4,Gangtok
December,Winter,Medium,2,Cold,Adventure,2,"Pushkar, Rajasthan"
June,Monsoon,Low,21,Rainy,Family Trip,2,Idukki
July,Monsoon,Medium,21,Rainy,Family Trip,9,"Manali and Kullu, Himachal Pradesh"
November,Autumn,High,16,Mild,Cultural,6,Wayanad
October,Autumn,Medium,25,Mild,Cultural,9,"Roopkund Glacial Lake, Nanda Devi National Park - Uttarakhand"
September,Autumn,High,19,Mild,Cultural,4,Ooty
June,Monsoon,Low,20,Rainy,Family Trip,6,"Rann of Kutch, Gujarat"
July,Monsoon,High,25,Rainy,Family Trip,4,"Hampi, Karnataka"
January,Winter,Medium,-5,Cold,Adventure,4,"Valley of Flowers, Uttarakhand"
September,Autumn,Medium,21,Mild,Cultural,7,"Wayanad, Alleppey - Kerala"
October,Autumn,High,23,Mild,Cultural,10,"Bhushi Dam, Lonavala"
April,Spring,Medium,29,Pleasant,Eco Tourism,1,Rishikesh
January,Winter,High,11,Cold,Adventure,1,"Roopkund Glacial Lake, Nanda Devi National Park - Uttarakhand"
January,Winter,Low,1,Cold,Adventure,8,"Sunset Viewpoint, Agumbe"
April,Spring,High,16,Pleasant,Eco Tourism,5,Munnar
October,Autumn,Low,16,Mild,Cultural,6,"Ooty, Tamil Nadu"
September,Autumn,Medium,25,Mild,Cultural,7,Goa
May,Summer,High,34,Hot,Adventure,9,"Darjeeling, Kalimpong - West Bengal"
August,Monsoon,High,25,Rainy,Family Trip,5,Rann of Kutch
June,Monsoon,Low,25,Rainy,Family Trip,10,"Attukal Waterfalls, Munnar"
October,Autumn,Medium,25,Mild,Cultural,6,Munnar
August,Monsoon,Medium,23,Rainy,Family Trip,10,Rishikesh
December,Winter,High,-3,Cold,Adventure,9,"Hampi, Karnataka"
May,Summer,High,26,Hot,Adventure,5,Wayanad
April,Spring,Medium,26,Pleasant,Eco Tourism,4,Ooty
February,Winter,High,14,Cold,Adventure,3,"Rann of Kutch, Gujarat"
November,Autumn,Medium,23,Mild,Cultural,7,"Attukal Waterfalls, Munnar"
May,Summer,Low,39,Hot,Adventure,7,Mussoorie
April,Spring,High,29,Pleasant,Eco Tourism,10,Idukki
August,Monsoon,Low,21,Rainy,Family Trip,6,Gulmarg
November,Autumn,Medium,18,Mild,Cultural,7,"Kullu-Manali, Himachal Pradesh"
December,Winter,High,10,Cold,Adventure,3,"Bhushi Dam, Lonavala"
February,Winter,Low,-1,Cold,Adventure,4,"Pillar Rocks, Kodaikanal"
September,Autumn,Medium,22,Mild,Cultural,5,"Sunset Viewpoint, Agumbe"
July,Monsoon,Low,27,Rainy,Family Trip,8,"Attukal Waterfalls, Munnar"
April,Spring,Medium,26,Pleasant,Eco Tourism,6,Darjeeling
January,Winter,Low,11,Cold,Adventure,10,Auli
December,Winter,Low,12,Cold,Adventure,1,"Mahabaleshwar, Maharashtra"
December,Winter,Low,13,Cold,Adventure,9,Jammu-Kashmir
December,Winter,Low,-1,Cold,Adventure,1,"Sunset Viewpoint, Agumbe"
June,Monsoon,High,27,Rainy,Family Trip,7,"Nohkalikai Falls, Cherrapunji"
April,Spring,Low,20,Pleasant,Eco Tourism,9,"Valley of Flowers, Uttarakhand"
August,Monsoon,High,21,Rainy,Family Trip,8,"Palolem Beach, Goa"
February,Winter,Medium,-2,Cold,Adventure,1,"Nohkalikai Falls, Cherrapunji"
June,Monsoon,Medium,30,Rainy,Family Trip,5,"Pushkar, Rajasthan"
April,Spring,Medium,21,Pleasant,Eco Tourism,4,"Manali and Kullu, Himachal Pradesh"
October,Autumn,High,21,Mild,Cultural,6,"Manali and Kullu, Himachal Pradesh"
October,Autumn,Medium,23,Mild,Cultural,4,Gulmarg
March,Spring,High,19,Pleasant,Eco Tourism,8,Kodaikanal
November,Autumn,High,20,Mild,Cultural,10,"Rann of Kutch, Gujarat"
August,Monsoon,High,25,Rainy,Family Trip,4,"Abbey Falls, Coorg"
July,Monsoon,Medium,25,Rainy,Family Trip,10,"Pillar Rocks, Kodaikanal"
April,Spring,High,20,Pleasant,Eco Tourism,6,Rishikesh
March,Spring,High,19,Pleasant,Eco Tourism,2,"Tsomgo Lake, Sikkim"
February,Winter,Low,0,Cold,Adventure,1,"Wayanad, Alleppey - Kerala"
April,Spring,Low,24,Pleasant,Eco Tourism,9,Jammu-Kashmir
August,Monsoon,Low,29,Rainy,Family Trip,10,"Pushkar, Rajasthan"
July,Monsoon,High,25,Rainy,Family Trip,3,Kumili
January,Winter,Low,15,Cold,Adventure,3,"Sunset Viewpoint, Agumbe"
October,Autumn,Low,20,Mild,Cultural,9,"Attukal Waterfalls, Munnar"
October,Autumn,High,17,Mild,Cultural,2,"Leh-Ladakh, Jammu & Kashmir"
August,Monsoon,Low,20,Rainy,Family Trip,9,Kodaikanal
December,Winter,Medium,2,Cold,Adventure,5,"Wayanad, Kerala"
October,Autumn,High,21,Mild,Cultural,7,Jammu-Kashmir
February,Winter,Low,4,Cold,Adventure,10,Munnar
January,Winter,Low,-4,Cold,Adventure,3,"Wayanad, Alleppey - Kerala"
March,Spring,High,27,Pleasant,Eco Tourism,8,Auli
August,Monsoon,High,20,Rainy,Family Trip,4,"Valley of Flowers, Uttarakhand"
May,Summer,Medium,28,Hot,Adventure,1,"Palolem Beach, Goa"
May,Summer,Medium,39,Hot,Adventure,2,"Bhushi Dam, Lonavala"
June,Monsoon,High,27,Rainy,Family Trip,7,Jaisalmer
June,Monsoon,Low,25,Rainy,Family Trip,3,"Amber Palace, Jaipur"
December,Winter,High,15,Cold,Adventure,4,"Sunset Viewpoint, Agumbe"
December,Winter,High,6,Cold,Adventure,9,"Leh-Ladakh, Jammu & Kashmir"
March,Spring,Low,29,Pleasant,Eco Tourism,10,"Palolem Beach, Goa"
February,Winter,Medium,1,Cold,Adventure,7,Coorg
October,Autumn,Medium,15,Mild,Cultural,10,Jammu-Kashmir
March,Spring,Low,21,Pleasant,Eco Tourism,5,Kodaikanal
July,Monsoon,Medium,21,Rainy,Family Trip,4,"Manali and Kullu, Himachal Pradesh"
October,Autumn,Low,17,Mild,Cultural,7,Shillong
October,Autumn,Low,15,Mild,Cultural,1,Mussoorie
August,Monsoon,Low,21,Rainy,Family Trip,6,Mount Abu
February,Winter,Low,10,Cold,Adventure,4,"Hampi, Karnataka"
January,Winter,Low,1,Cold,Adventure,2,Tawang
January,Winter,High,5,Cold,Adventure,6,Shillong
March,Spring,Low,20,Pleasant,Eco Tourism,5,Kodaikanal
September,Autumn,Medium,25,Mild,Cultural,8,"Ooty, Tamil Nadu"
March,Spring,Low,21,Pleasant,Eco Tourism,8,Wayanad
March,Spring,Low,27,Pleasant,Eco Tourism,2,"Sunset Viewpoint, Agumbe"
December,Winter,High,9,Cold,Adventure,8,"Abbey Falls, Coorg"
November,Autumn,High,19,Mild,Cultural,2,Rann of Kutch
August,Monsoon,High,21,Rainy,Family Trip,2,Rishikesh
February,Winter,Low,-1,Cold,Adventure,5,"Elephant Falls, Shillong"
January,Winter,High,-1,Cold,Adventure,2,"Darjeeling, West Bengal"
August,Monsoon,Medium,25,Rainy,Family Trip,3,Gangtok
February,Winter,Medium,-4,Cold,Adventure,9,"Manali and Kullu, Himachal Pradesh"
July,Monsoon,High,22,Rainy,Family Trip,2,Shillong
December,Winter,Low,-1,Cold,Adventure,5,Gangtok
March,Spring,Medium,29,Pleasant,Eco Tourism,6,"Pushkar, Rajasthan"
January,Winter,High,12,Cold,Adventure,9,Wayanad
September,Autumn,High,15,Mild,Cultural,2,"Sunset Viewpoint, Agumbe"
March,Spring,Medium,17,Pleasant,Eco Tourism,2,Darjeeling
July,Monsoon,Low,21,Rainy,Family Trip,3,Udaipur
July,Monsoon,Low,27,Rainy,Family Trip,8,Udaipur
August,Monsoon,Low,24,Rainy,Family Trip,2,"Elephant Falls, Shillong"
August,Monsoon,High,22,Rainy,Family Trip,3,"Elephant Falls, Shillong"
May,Summer,Medium,33,Hot,Adventure,1,"Mahabaleshwar, Maharashtra"
November,Autumn,High,19,Mild,Cultural,3,Darjeeling
March,Spring,Low,23,Pleasant,Eco Tourism,8,"Bhushi Dam, Lonavala"
August,Monsoon,Medium,24,Rainy,Family Trip,1,"Nohkalikai Falls, Cherrapunji"
June,Monsoon,Low,24,Rainy,Family Trip,4,Darjeeling
May,Summer,High,26,Hot,Adventure,3,Jaisalmer
February,Winter,High,4,Cold,Adventure,8,"Bhushi Dam, Lonavala"
June,Monsoon,Low,22,Rainy,Family Trip,9,"Tsomgo Lake, Sikkim"
April,Spring,Medium,20,Pleasant,Eco Tourism,9,Mussoorie
March,Spring,Medium,19,Pleasant,Eco Tourism,7,Coorg
April,Spring,Medium,20,Pleasant,Eco Tourism,9,Darjeeling
March,Spring,Low,29,Pleasant,Eco Tourism,4,"Bhushi Dam, Lonavala"
June,Monsoon,Medium,26,Rainy,Family Trip,9,Mount Abu
August,Monsoon,High,29,Rainy,Family Trip,1,"Hampi, Karnataka"
March,Spring,Low,25,Pleasant,Eco Tourism,10,Gulmarg
September,Autumn,High,22,Mild,Cultural,2,Udaipur
October,Autumn,Low,19,Mild,Cultural,4,"Hampi, Karnataka"
August,Monsoon,High,24,Rainy,Family Trip,10,"Mahabaleshwar, Maharashtra"
November,Autumn,Medium,24,Mild,Cultural,7,"Darjeeling, Kalimpong - West Bengal"
October,Autumn,Low,21,Mild,Cultural,10,Kumili
April,Spring,High,29,Pleasant,Eco Tourism,5,Mount Abu
July,Monsoon,High,24,Rainy,Family Trip,6,Coorg
July,Monsoon,High,27,Rainy,Family Trip,4,Dalhousie
November,Autumn,Medium,18,Mild,Cultural,8,Rann of Kutch
June,Monsoon,Medium,21,Rainy,Family Trip,4,"Wayanad, Kerala"
June,Monsoon,Medium,28,Rainy,Family Trip,9,Wayanad
December,Winter,Medium,7,Cold,Adventure,1,Rann of Kutch
May,Summer,High,26,Hot,Adventure,10,"Mahabaleshwar, Maharashtra"
December,Winter,High,-5,Cold,Adventure,9,Kumili
July,Monsoon,Medium,30,Rainy,Family Trip,5,Shimla
May,Summer,Low,39,Hot,Adventure,3,"Sunset Viewpoint, Agumbe"
May,Summer,Medium,33,Hot,Adventure,6,"Kullu-Manali, Himachal Pradesh"
November,Autumn,Low,24,Mild,Cultural,5,Kodaikanal
January,Winter,Low,3,Cold,Adventure,7,"Nohkalikai Falls, Cherrapunji"
December,Winter,Low,3,Cold,Adventure,9,"Palolem Beach, Goa"
September,Autumn,Medium,19,Mild,Cultural,7,"Ooty, Tamil Nadu"
July,Monsoon,Low,23,Rainy,Family Trip,3,"Sunset Viewpoint, Agumbe"
May,Summer,High,25,Hot,Adventure,6,Tawang
March,Spring,Medium,28,Pleasant,Eco Tourism,9,"Hampi, Karnataka"
September,Autumn,High,22,Mild,Cultural,9,"Palolem Beach, Goa"
April,Spring,Low,22,Pleasant,Eco Tourism,3,"Rann of Kutch, Gujarat"
March,Spring,Low,16,Pleasant,Eco Tourism,2,"Tsomgo Lake, Sikkim"
September,Autumn,High,25,Mild,Cultural,8,Rann of Kutch
August,Monsoon,Medium,30,Rainy,Family Trip,4,Idukki
September,Autumn,Low,18,Mild,Cultural,7,Leh & Ladakh
July,Monsoon,Medium,28,Rainy,Family Trip,7,"Darjeeling, West Bengal"
September,Autumn,High,25,Mild,Cultural,1,Udaipur
August,Monsoon,High,27,Rainy,Family Trip,5,"Nohkalikai Falls, Cherrapunji"
February,Winter,Medium,-5,Cold,Adventure,10,"Manali and Kullu, Himachal Pradesh"
December,Winter,Low,-4,Cold,Adventure,2,Mount Abu
October,Autumn,High,16,Mild,Cultural,10,"Sunset Viewpoint, Agumbe"
December,Winter,Medium,5,Cold,Adventure,1,"Tsomgo Lake, Sikkim"
May,Summer,High,38,Hot,Adventure,7,Gulmarg
August,Monsoon,High,26,Rainy,Family Trip,3,"Darjeeling, West Bengal"
May,Summer,Medium,27,Hot,Adventure,4,"Elephant Falls, Shillong"
May,Summer,High,31,Hot,Adventure,10,"Darjeeling, West Bengal"
May,Summer,High,38,Hot,Adventure,5,Kodaikanal
April,Spring,High,21,Pleasant,Eco Tourism,5,Udaipur
March,Spring,Low,16,Pleasant,Eco Tourism,10,"Rann of Kutch, Gujarat"
September,Autumn,High,20,Mild,Cultural,10,"Amber Palace, Jaipur"
January,Winter,Medium,-5,Cold,Adventure,10,Kodaikanal
March,Spring,High,28,Pleasant,Eco Tourism,5,"Rann of Kutch, Gujarat"
April,Spring,Low,16,Pleasant,Eco Tourism,3,"Tsomgo Lake, Sikkim"
December,Winter,Low,-3,Cold,Adventure,1,"Mahabaleshwar, Maharashtra"
April,Spring,Low,20,Pleasant,Eco Tourism,6,"Tsomgo Lake, Sikkim"
September,Autumn,Low,19,Mild,Cultural,5,"Roopkund Glacial Lake, Nanda Devi National Park - Uttarakhand"
September,Autumn,Medium,17,Mild,Cultural,2,"Ooty, Tamil Nadu"
November,Autumn,Low,21,Mild,Cultural,10,"Valley of Flowers, Uttarakhand"
September,Autumn,High,25,Mild,Cultural,5,"Attukal Waterfalls, Munnar"
January,Winter,Medium,-5,Cold,Adventure,3,Shimla
May,Summer,Medium,31,Hot,Adventure,4,"Elephant Falls, Shillong"
April,Spring,Low,18,Pleasant,Eco Tourism,6,"Hampi, Karnataka"
September,Autumn,Medium,22,Mild,Cultural,9,"Nohkalikai Falls, Cherrapunji"
November,Autumn,High,16,Mild,Cultural,8,"Manali and Kullu, Himachal Pradesh"
August,Monsoon,Medium,27,Rainy,Family Trip,10,"Rann of Kutch, Gujarat"
June,Monsoon,High,28,Rainy,Family Trip,4,"Kullu-Manali, Himachal Pradesh"
January,Winter,High,3,Cold,Adventure,3,Idukki
May,Summer,Medium,31,Hot,Adventure,9,Jaisalmer
January,Winter,High,5,Cold,Adventure,3,Rishikesh
October,Autumn,Medium,19,Mild,Cultural,2,"Rann of Kutch, Gujarat"
June,Monsoon,Medium,23,Rainy,Family Trip,6,"Nohkalikai Falls, Cherrapunji"
November,Autumn,Low,17,Mild,Cultural,6,Munnar
October,Autumn,High,25,Mild,Cultural,6,Leh & Ladakh
April,Spring,High,28,Pleasant,Eco Tourism,6,"Elephant Falls, Shillong"
October,Autumn,Medium,24,Mild,Cultural,7,Shimla
October,Autumn,Medium,15,Mild,Cultural,9,Ooty
December,Winter,Medium,-3,Cold,Adventure,9,"Nohkalikai Falls, Cherrapunji"
October,Autumn,Low,25,Mild,Cultural,9,Udaipur
November,Autumn,Medium,25,Mild,Cultural,8,"Nohkalikai Falls, Cherrapunji"
March,Spring,Low,23,Pleasant,Eco Tourism,1,"Sunset Viewpoint, Agumbe"
April,Spring,High,15,Pleasant,Eco Tourism,4,Rishikesh
January,Winter,Medium,7,Cold,Adventure,8,Rishikesh
April,Spring,Low,21,Pleasant,Eco Tourism,8,"Abbey Falls, Coorg"
March,Spring,High,19,Pleasant,Eco Tourism,2,"Mahabaleshwar, Maharashtra"
November,Autumn,High,25,Mild,Cultural,9,"Leh-Ladakh, Jammu & Kashmir"
October,Autumn,Medium,17,Mild,Cultural,8,Kumili
May,Summer,Low,28,Hot,Adventure,9,Mussoorie
May,Summer,High,32,Hot,Adventure,4,Udaipur
July,Monsoon,High,24,Rainy,Family Trip,3,"Attukal Waterfalls, Munnar"
January,Winter,High,5,Cold,Adventure,10,Ooty
August,Monsoon,Medium,22,Rainy,Family Trip,2,Rann of Kutch
April,Spring,Medium,21,Pleasant,Eco Tourism,7,"Sunset Viewpoint, Agumbe"
February,Winter,Medium,-3,Cold,Adventure,7,"Nohkalikai Falls, Cherrapunji"
February,Winter,Low,2,Cold,Adventure,6,Gangtok
June,Monsoon,Low,26,Rainy,Family Trip,2,Auli
July,Monsoon,Low,24,Rainy,Family Trip,1,"Bhushi Dam, Lonavala"
December,Winter,Low,7,Cold,Adventure,5,Udaipur
November,Autumn,Low,22,Mild,Cultural,5,"Darjeeling, Kalimpong - West Bengal"
July,Monsoon,Low,22,Rainy,Family Trip,6,"Abbey Falls, Coorg"
November,Autumn,High,20,Mild,Cultural,1,Udaipur
January,Winter,Medium,7,Cold,Adventure,5,"Sunset Viewpoint, Agumbe"
April,Spring,High,17,Pleasant,Eco Tourism,3,Jaisalmer
August,Monsoon,Medium,26,Rainy,Family Trip,5,"Hampi, Karnataka"
October,Autumn,Medium,17,Mild,Cultural,5,"Wayanad, Alleppey - Kerala"
May,Summer,Medium,36,Hot,Adventure,4,"Elephant Falls, Shillong"
July,Monsoon,High,24,Rainy,Family Trip,6,"Nilgiris Tiger Reserves, Karnataka"
November,Autumn,Low,21,Mild,Cultural,9,"Nohkalikai Falls, Cherrapunji"
June,Monsoon,High,23,Rainy,Family Trip,3,"Manali and Kullu, Himachal Pradesh"
May,Summer,Low,32,Hot,Adventure,5,"Nohkalikai Falls, Cherrapunji"
July,Monsoon,High,20,Rainy,Family Trip,10,Gangtok
June,Monsoon,Low,30,Rainy,Family Trip,5,Rishikesh
January,Winter,High,14,Cold,Adventure,3,"Roopkund Glacial Lake, Nanda Devi National Park - Uttarakhand"
May,Summer,High,33,Hot,Adventure,4,Darjeeling
July,Monsoon,Medium,20,Rainy,Family Trip,3,"Tsomgo Lake, Sikkim"
April,Spring,High,17,Pleasant,Eco Tourism,8,Udaipur
October,Autumn,Low,16,Mild,Cultural,8,"Pushkar, Rajasthan"
July,Monsoon,Medium,23,Rainy,Family Trip,4,"Ooty, Tamil Nadu"
September,Autumn,Low,15,Mild,Cultural,8,"Pillar Rocks, Kodaikanal"
July,Monsoon,Medium,21,Rainy,Family Trip,10,Shillong
